what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343192322910
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343192325145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343192374896
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343192382784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343192383893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343192383902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343192389340
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343192410826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195693359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195700873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195702761
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1343195702766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195744982
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195747979
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1343195754331
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1343195754375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195755253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195795046
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1343195795080
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1343195795096
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195800209
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195852647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195861266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195874078
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1343195874213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195878363
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1343195917199
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343195919451
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1343195921183
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1343195921334
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343195921406
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343195921595
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1343195921915
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1343195922797
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343195933447
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1343195946781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343195948339
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343195951536
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343195952623
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1343195953079
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343196024084
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1343196094259
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343196140750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343196155488
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1343196158938
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1343196159120
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1343196159262
